ts_code,period,start,end,observations,total_return,cagr,max_drawdown,median_amount,name,matched_index_name,list_date
159939.SZ,5Y,2021-08-25,2026-08-24,1210,0.46132971506105824,0.07887768720988797,-0.49090909090909096,27964.0225,广发中证全指信息技术ETF,中证全指信息技术指数,20150205.0
159939.SZ,10Y,2016-08-26,2026-08-24,2425,0.820794590025359,0.06180293513973156,-0.5319402985074626,22239.365,广发中证全指信息技术ETF,中证全指信息技术指数,20150205.0
159949.SZ,1Y,2025-08-22,2026-08-24,242,0.3157467532467533,0.3140262669109697,-0.2737588652482271,1939609.1290000002,华安创业板50ETF,创业板50指数,20160722.0
159949.SZ,3Y,2023-08-25,2026-08-24,725,0.871824480369515,0.2325859186201258,-0.34929810074318746,1021617.567,华安创业板50ETF,创业板50指数,20160722.0
159949.SZ,5Y,2021-08-25,2026-08-24,1210,0.1034717494894486,0.019901197050785413,-0.5846645367412141,792945.497,华安创业板50ETF,创业板50指数,20160722.0
159949.SZ,10Y,2016-08-26,2026-08-24,2425,0.7171610169491527,0.0555946610685496,-0.5899053627760252,626760.406,华安创业板50ETF,创业板50指数,20160722.0
510150.SH,1Y,2025-08-22,2026-08-24,242,-0.14974182444061956,-0.14908389029060165,-0.26384364820846906,44772.163,招商上证消费80ETF,上证消费80指数,20110225.0
510150.SH,3Y,2023-08-25,2026-08-24,725,-0.10990990990991001,-0.03809294393795082,-0.26384364820846906,40104.567,招商上证消费80ETF,上证消费80指数,20110225.0
510150.SH,5Y,2021-08-25,2026-08-24,1210,-0.33512786002691786,-0.07844057611008926,-0.4609665427509294,33959.5515,招商上证消费80ETF,上证消费80指数,20110225.0
510150.SH,10Y,2016-08-26,2026-08-24,2418,0.5552300547873725,0.045183633872464046,-0.5407897821712886,16647.6535,招商上证消费80ETF,上证消费80指数,20110225.0
510170.SH,1Y,2025-08-22,2026-08-24,242,0.3368022705771052,0.3349531878877543,-0.25317989097516647,16066.373,国联安上证大宗商品股票ETF,上证大宗商品股票指数,20110125.0
510170.SH,3Y,2023-08-25,2026-08-24,725,0.7773584905660378,0.21147755017535408,-0.25317989097516647,4461.39,国联安上证大宗商品股票ETF,上证大宗商品股票指数,20110125.0
510170.SH,5Y,2021-08-25,2026-08-24,1209,0.5734744838976054,0.09496164827894216,-0.3414553453585569,4506.503,国联安上证大宗商品股票ETF,上证大宗商品股票指数,20110125.0
510170.SH,10Y,2016-08-26,2026-08-24,2390,2.3196473867595824,0.12757356788183616,-0.3678665496049167,1460.0235,国联安上证大宗商品股票ETF,上证大宗商品股票指数,20110125.0
510230.SH,1Y,2025-08-22,2026-08-24,242,-0.08200138985406535,-0.08162678763529063,-0.16598360655737698,60624.692500000005,国泰上证180金融ETF,上证180金融股指数,20110523.0
510230.SH,3Y,2023-08-25,2026-08-24,725,0.34833007594412835,0.1048289387575776,-0.16598360655737698,46198.668,国泰上证180金融ETF,上证180金融股指数,20110523.0
510230.SH,5Y,2021-08-25,2026-08-24,1210,0.299047158454137,0.053757184146916215,-0.26625111308993776,47998.0415,国泰上证180金融ETF,上证180金融股指数,20110523.0
510230.SH,10Y,2016-08-26,2026-08-24,2424,0.6064604013894248,0.04857887291731222,-0.3536302253205652,38318.1915,国泰上证180金融ETF,上证180金融股指数,20110523.0
510300.SH,1Y,2025-08-22,2026-08-24,242,0.05989384559342592,0.05959990205854071,-0.09860538204674918,4063534.8975,华泰柏瑞沪深300ETF,沪深300指数,20120528.0
